PAC,long,lat
580941,-53.61968817746737,-27.831065187108663
74011,-53.68892801691442,-27.63812429450053
66621,-53.71049549886811,-27.68859698346398
215271,-53.61459746430148,-27.838424618201543
215261,-53.61481788723569,-27.839151235341205
580851,-53.616161118240996,-27.835913872027504
155721,-53.615146078628584,-27.837178180328692
580971,-53.62161909114809,-27.827798574244753
580961,-53.62113119275028,-27.82861081673576
581031,-53.62386076556186,-27.821846450853002
581021,-53.62362198836405,-27.82288853847524
581011,-53.62353188798619,-27.82378344485005
581001,-53.62298624591847,-27.825147142626463
580991,-53.62251371783378,-27.826175628002773
580981,-53.62208669454526,-27.826986716663612
580881,-53.61693118252799,-27.83501509227267
580931,-53.61909039810337,-27.831951687520302
